lesson_id,filename,s3_url,cdn_url
e6-2,gestion-index-google-shopify-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/gestion-index-google-shopify-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/gestion-index-google-shopify-1-v1_720p_afrique.mp4
e5-4,integration-blog-shopify-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/integration-blog-shopify-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/integration-blog-shopify-1-v1_720p_afrique.mp4
e2-1c,introduction-shopify-e-commerce-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/introduction-shopify-e-commerce-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/introduction-shopify-e-commerce-1-v1_720p_afrique.mp4
e7-3,lancement-promotion-boutique-en-ligne-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/lancement-promotion-boutique-en-ligne-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/lancement-promotion-boutique-en-ligne-1-v1_720p_afrique.mp4
n2-1,m-Maitriser-Zapier-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-Maitriser-Zapier-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-Maitriser-Zapier-1-v1_720p_afrique.mp4
n2-4,m-applicationsconnecteessurmake-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-applicationsconnecteessurmake-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-applicationsconnecteessurmake-1-v1_720p_afrique.mp4
n1-1,m-automatisercestquoi-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-automatisercestquoi-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-automatisercestquoi-1-v1_720p_afrique.mp4
n1-1b,m-basesdelautomatisation-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-basesdelautomatisation-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-basesdelautomatisation-1-v1_720p_afrique.mp4
n6-1,m-certification-auto-no-code-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-certification-auto-no-code-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-certification-auto-no-code-1-v1_720p_afrique.mp4
s2-3,m-communauteetventeinstagram-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-communauteetventeinstagram-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-communauteetventeinstagram-1-v1_720p_afrique.mp4
s2-3b,m-communauteetventeinstagram-2-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-communauteetventeinstagram-2-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-communauteetventeinstagram-2-v1_720p_afrique.mp4
e2-2,m-configurernomdomainehebergementshopify-1-v2_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-configurernomdomainehebergementshopify-1-v2_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-configurernomdomainehebergementshopify-1-v2_720p_afrique.mp4
n2-5,m-connecterbasededonneesamake-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-connecterbasededonneesamake-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-connecterbasededonneesamake-1-v1_720p_afrique.mp4
n2-2,m-connecteriaamake-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-connecteriaamake-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-connecteriaamake-1-v1_720p_afrique.mp4
n2-3,m-creer-des-workflows-automatises-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-creer-des-workflows-automatises-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-creer-des-workflows-automatises-1-v1_720p_afrique.mp4
l2-2,m-creerplanningeditorialautomatise-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-creerplanningeditorialautomatise-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-creerplanningeditorialautomatise-1-v1_720p_afrique.mp4
e8-1,m-decouvrircomptabiliteecommerce-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-decouvrircomptabiliteecommerce-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-decouvrircomptabiliteecommerce-1-v1_720p_afrique.mp4
